"","Rank","Name","Platform","Year","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales"
"3226",2852,"Monster Hunter Tri","WiiU",2012,"Role-Playing","Nintendo",0.26,0.19,0.22,0.04,0.72
"3227",13832,"BlazBlue: Chrono Phantasma Extend","PS3",2015,"Action","PQube",0,0,0.04,0,0.04
"3228",14924,"Otometeki Koi Kakumei * Love Revo! Portable","PSP",2010,"Adventure","Idea Factory",0,0,0.02,0,0.02
"3229",622,"Pure","X360",2008,"Racing","Disney Interactive Studios",1.38,0.85,0,0.25,2.48
"3230",1693,"SpongeBob SquarePants: Revenge of the Flying Dutchman","GBA",2002,"Platform","THQ",0.92,0.23,0,0.04,1.19
"3231",881,"Scooby Doo and the Cyber Chase","PS",2001,"Adventure","THQ",0.59,1.23,0,0.13,1.94
"3232",4248,"Tak 2: The Staff of Dreams","GBA",2004,"Platform","THQ",0.33,0.12,0,0.01,0.46
"3233",6954,"Madagascar: Escape 2 Africa","PS3",2008,"Action","Activision",0.12,0.08,0,0.04,0.23
"3234",9899,"Cruis'n","Wii",2007,"Racing","Midway Games",0.1,0.01,0,0.01,0.12
"3235",15643,"Final Fantasy XIV: Heavensward","PC",2015,"Action","Square Enix",0.01,0.01,0,0,0.02
"3236",8070,"The Chronicles of Narnia: Prince Caspian","X360",2008,"Action","Disney Interactive Studios",0.16,0.01,0,0.01,0.18
"3237",11655,"Madden NFL 08","GC",2007,"Sports","Electronic Arts",0.06,0.02,0,0,0.08
"3238",14445,"Shin Sangoku Musou Online: Kamishou Ranbu","PS3",2010,"Action","Tecmo Koei",0,0,0.03,0,0.03
"3239",10232,"Ninja Assault","PS2",2002,"Shooter","Namco Bandai Games",0.05,0.04,0,0.01,0.11
"3240",15309,"Shaberu! DS Oryouri Navi: Marugoto Teikoku Hotel: Saikouhou no Ryouri-chou ga Oshieru Katei Ryouri","DS",2007,"Misc","Tecmo Koei",0,0,0.02,0,0.02
"3241",8042,"Company of Heroes: Anthology","PC",2009,"Strategy","THQ",0,0.15,0,0.04,0.18
"3242",89,"Pokémon Platinum Version","DS",2008,"Role-Playing","Nintendo",2.82,1.78,2.69,0.55,7.84
"3243",6729,"Imagine: Zookeeper","DS",2009,"Simulation","Ubisoft",0.16,0.06,0,0.02,0.25
"3244",13828,"Draglade (JP sales)","DS",2007,"Fighting","505 Games",0,0,0.04,0,0.04
"3245",6667,"Spider-Man: Web of Shadows","Wii",2008,"Action","Activision",0.22,0.01,0,0.02,0.25
"3246",7765,"Steins;Gate","PSP",2011,"Adventure","Kadokawa Shoten",0,0,0.19,0,0.19
"3247",16346,"Sekirei: Mirai Kara no Okurimono","PS2",2009,"Adventure","Alchemist",0,0,0.01,0,0.01
"3248",10843,"SingStar Apres-Ski Party 2","PS3",2010,"Misc","Sony Computer Entertainment",0,0.07,0,0.02,0.09
"3249",6077,"Final Fantasy X-2: International + Last Mission","PS2",2004,"Role-Playing","Square Enix",0,0,0.29,0,0.29
"3250",15975,"Scared Rider Xechs","PS2",2010,"Adventure","RED Entertainment",0,0,0.02,0,0.02
"3251",13626,"Amagami","PSV",2014,"Adventure","Kadokawa Games",0,0,0.04,0,0.04
"3252",13572,"The Smurfs","PS",1998,"Action","Infogrames",0.02,0.02,0,0,0.04
"3253",3472,"Digimon World 2","PS",2000,"Role-Playing","Namco Bandai Games",0.23,0.16,0.16,0.04,0.58
"3254",4889,"Dungeon Siege III","PS3",2011,"Role-Playing","Square Enix",0.17,0.14,0.03,0.06,0.39
"3255",12857,"7 Wonders: Treasures of Seven","DS",2011,"Puzzle","Avanquest",0.02,0.03,0,0.01,0.05
"3256",1584,"SOCOM: U.S. Navy SEALs Confrontation","PS3",2008,"Shooter","Sony Computer Entertainment",0.94,0.17,0.02,0.13,1.25
"3257",10080,"The King of Fighters XII","X360",2009,"Fighting","Ignition Entertainment",0.09,0,0.01,0.01,0.11
"3258",8310,"Tak: The Great Juju Challenge","GBA",2005,"Platform","THQ",0.12,0.05,0,0,0.17
"3259",11341,"X Rebirth","PC",2013,"Simulation","Koch Media",0,0.08,0,0.01,0.08
"3260",8704,"Imagine: Music Fest","DS",2009,"Simulation","Ubisoft",0.15,0,0,0.01,0.16
"3261",1197,"Dishonored","PS3",2012,"Action","Bethesda Softworks",0.72,0.54,0.04,0.25,1.55
"3262",10866,"The Voice","WiiU",2014,"Action","Activision",0.08,0,0,0.01,0.09
"3263",15924,"Online Chess Kingdoms","PSP",2006,"Misc","Konami Digital Entertainment",0.01,0,0,0,0.02
"3264",4004,"Super Famista 5","SNES",1996,"Sports","Namco Bandai Games",0,0,0.5,0,0.5
"3265",15702,"Lost: Via Domus","PC",2008,"Action","Ubisoft",0,0.01,0,0,0.02
"3266",14043,"The Croods: Prehistoric Party!","3DS",2013,"Misc","D3Publisher",0.01,0.02,0,0,0.04
"3267",11054,"Ski-Doo Snowmobile Challenge","Wii",2009,"Racing","Valcon Games",0.08,0,0,0.01,0.09
"3268",4984,"Shin Megami Tensei: Nocturne","PS2",2003,"Role-Playing","Ghostlight",0.07,0.05,0.25,0.02,0.38
"3269",10286,"JU-ON: The Grudge","Wii",2009,"Action","Rising Star Games",0.08,0.01,0.01,0.01,0.11
"3270",1218,"Die Hard Trilogy","PS",1996,"Shooter","Fox Interactive",0.85,0.58,0,0.1,1.54
"3271",14322,"Monster High: New Ghoul in School","Wii",2015,"Action","Little Orbit",0,0.03,0,0,0.03
"3272",15453,"Winx Club: Saving Alfea","DS",2014,"Action","Namco Bandai Games",0.02,0,0,0,0.02
"3273",11063,"Super Robot Taisen MX Portable","PSP",2005,"Strategy","Banpresto",0,0,0.09,0,0.09
"3274",2887,"Blast Corps","N64",1997,"Action","Nintendo",0.39,0.09,0.17,0.06,0.71
"3275",12619,"Raw Danger! (JP sales)","PS2",2006,"Action","505 Games",0,0,0.06,0,0.06
"3276",7912,"Shining Force II","GEN",1993,"Strategy","Sega",0,0,0.19,0,0.19
"3277",12284,"Aggressive Inline","XB",2002,"Sports","Acclaim Entertainment",0.05,0.01,0,0,0.06
"3278",6575,"Petz: Crazy Monkeyz","Wii",2008,"Simulation","Ubisoft",0.23,0,0,0.02,0.26
"3279",14082,"MLB 15: The Show","PSV",2015,"Sports","Sony Computer Entertainment",0.03,0,0,0.01,0.04
"3280",1173,"MySims Kingdom","DS",2008,"Simulation","Electronic Arts",0.81,0.6,0.01,0.17,1.58
"3281",14374,"Super Meat Boy: Ultra Edition!","PC",2011,"Platform","Unknown",0,0.02,0,0.01,0.03
"3282",7471,"Heisei Kyouiku linkai DS","DS",2006,"Misc","Namco Bandai Games",0,0,0.21,0,0.21
"3283",12086,"Samurai Shodown","NG",1993,"Fighting","SNK",0,0,0.07,0,0.07
"3284",6089,"World of Warcraft: Legion","PC",2016,"Role-Playing","Activision",0.14,0.12,0,0.02,0.29
"3285",8716,"Prince of Persia: The Forgotten Sands","DS",2010,"Action","Ubisoft",0.14,0.01,0,0.01,0.16
"3286",6742,"Cars: Mater-National Championship","PS2",2007,"Racing","THQ",0.12,0.09,0,0.03,0.25
"3287",1020,"Forza Motorsport 6","XOne",2015,"Racing","Microsoft Game Studios",0.69,0.89,0.03,0.14,1.74
"3288",4655,"Zack & Wiki: Quest for Barbaros' Treasure","Wii",2007,"Adventure","Nintendo",0.18,0.17,0.03,0.04,0.42
"3289",3992,"The Saboteur","PS3",2009,"Action","Electronic Arts",0.2,0.22,0,0.08,0.5
"3290",12805,"Mega Man 8 Anniversary Collector's Edition","SAT",1997,"Platform","Capcom",0,0,0.06,0,0.06
"3291",15938,"Pippa Funnell 2: Farm Adventures","DS",2007,"Simulation","Ubisoft",0,0.01,0,0,0.02
"3292",6072,"Dragon Ball Heroes: Ultimate Mission","3DS",2013,"Misc","Namco Bandai Games",0,0,0.29,0,0.29
"3293",8352,"Sid Meier's Civilization IV","PC",2005,"Strategy","Take-Two Interactive",0.02,0.12,0,0.03,0.17
"3294",7750,"Conflict: Denied Ops","X360",2008,"Shooter","Eidos Interactive",0.08,0.09,0,0.02,0.19
"3295",5496,"Super Power League 2","SNES",1994,"Sports","Hudson Soft",0,0,0.33,0,0.33
"3296",2246,"Teenage Mutant Ninja Turtles","PS2",2003,"Action","Konami Digital Entertainment",0.45,0.35,0,0.12,0.92
"3297",2023,"The Simpsons Game","Wii",2007,"Action","Electronic Arts",0.45,0.47,0,0.11,1.03
"3298",6769,"Classic NES Series: Xevious","GBA",2004,"Shooter","Nintendo",0.08,0.03,0.12,0.01,0.25
"3299",10122,"BloodRayne","GC",2002,"Shooter","Universal Interactive",0.09,0.02,0,0,0.11
"3300",1125,"ESPN NFL 2K5","XB",2004,"Sports","Sega",1.54,0.02,0,0.07,1.63
"3301",16435,"Shinseiki Evangelion: Koutetsu no Girlfriend 2nd Portable","PSP",2009,"Adventure","CyberFront",0,0,0.01,0,0.01
"3302",5539,"NCAA GameBreaker 2001","PS",2000,"Sports","Sony Computer Entertainment",0.18,0.12,0,0.02,0.33
"3303",6022,"FIFA Soccer 13","3DS",2012,"Action","Electronic Arts",0.06,0.2,0,0.03,0.29
"3304",10972,"Rapid Reload","PS",1995,"Shooter","Sony Computer Entertainment",0,0,0.09,0.01,0.09
"3305",4566,"Pirates of the Caribbean: At World's End","PSP",2007,"Action","Disney Interactive Studios",0.15,0.17,0,0.1,0.43
"3306",10942,"World Soccer Winning Eleven 2010: Aoki Samurai no Chousen","PS2",2010,"Sports","Konami Digital Entertainment",0,0,0.09,0,0.09
"3307",6833,"Rock Band Track Pack Volume 1","Wii",2008,"Misc","MTV Games",0.17,0.05,0,0.02,0.24
"3308",9796,"Breakdown","XB",2004,"Adventure","Electronic Arts",0.09,0.03,0,0,0.12
"3309",5932,"The Suite Life of Zack & Cody: Circle of Spies","DS",2007,"Action","Disney Interactive Studios",0.17,0.09,0,0.03,0.3
"3310",704,"Star Wars: The Force Unleashed","PS3",2008,"Action","LucasArts",1.01,0.9,0,0.37,2.28
"3311",14935,"Shinseiki Evangelion: Battle Orchestra","PS2",2007,"Fighting","Broccoli",0,0,0.02,0,0.02
"3312",10443,"Taiko no Tatsujin: V Version","PSV",2015,"Action","Namco Bandai Games",0,0,0.1,0,0.1
"3313",13687,"Chaos;Head - Love Chu*Chu!","PSP",2011,"Adventure","5pb",0,0,0.04,0,0.04
"3314",15029,"Stronghold Crusader Extreme","PC",2008,"Strategy","Gamecock",0,0.02,0,0,0.02
"3315",2287,"Minecraft: Story Mode","X360",2015,"Adventure","Mojang",0.46,0.38,0,0.08,0.91
"3316",8600,"The Crew","PC",2014,"Racing","Ubisoft",0,0.15,0,0.01,0.16
"3317",9809,"Showdown: Legends of Wrestling","XB",2004,"Fighting","Acclaim Entertainment",0.09,0.03,0,0,0.12
"3318",1368,"LEGO Star Wars II: The Original Trilogy","PSP",2006,"Action","LucasArts",0.58,0.51,0,0.32,1.41
"3319",10779,"Ultimate Muscle - The Kinnikuman Legacy: The Path of the Superhero","GBA",2002,"Fighting","Banpresto",0.05,0.02,0.03,0,0.1
"3320",15087,"Kingdom: Ikkitousen no Ken","PSP",2010,"Action","Konami Digital Entertainment",0,0,0.02,0,0.02
"3321",2213,"MLB 2000","PS",1999,"Sports","Sony Computer Entertainment",0.52,0.35,0,0.06,0.94
"3322",941,"inFAMOUS 2","PS3",2011,"Action","Sony Computer Entertainment",1.05,0.49,0.08,0.23,1.85
"3323",13817,"Cyber Troopers Virtual-On Marz","PS2",2003,"Fighting","Sega",0.02,0.01,0,0,0.04
"3324",87,"Final Fantasy X","PS2",2001,"Role-Playing","Sony Computer Entertainment",2.91,2.07,2.73,0.33,8.05
"3325",1440,"FIFA Soccer 09","PSP",2008,"Sports","Electronic Arts",0.23,0.73,0.02,0.37,1.35
"3326",3212,"Just Dance 3","PS3",2011,"Misc","Ubisoft",0.33,0.21,0,0.09,0.63
"3327",1297,"Disney Princess: Magical Jewels","DS",2007,"Adventure","Disney Interactive Studios",1.15,0.2,0,0.12,1.47
"3328",14819,"The Legend of Korra (3DS)","3DS",2014,"Strategy","Activision",0.02,0,0,0,0.03
"3329",5280,"Vancouver 2010 - The Official Video Game of the Olympic Winter Games","PS3",2010,"Sports","Sega",0.09,0.2,0,0.07,0.35
"3330",12695,"Ride to Hell","X360",2013,"Racing","Deep Silver",0.04,0.01,0,0,0.06
"3331",10339,"Rengoku: The Tower of Purgatory","PSP",2005,"Action","Konami Digital Entertainment",0.1,0,0,0.01,0.11
"3332",9221,"Hard Rock Casino","PSP",2007,"Misc","Oxygen Interactive",0.12,0,0,0.01,0.14
"3333",842,"Dead Space","PS3",2008,"Action","Electronic Arts",1.05,0.67,0,0.3,2.02
"3334",14063,"Pirates: Duels on the High Seas","DS",2008,"Action","Oxygen Interactive",0.03,0,0,0,0.04
"3335",3444,"Just Dance 2016","WiiU",2015,"Misc","Ubisoft",0.28,0.25,0,0.05,0.58
"3336",3150,"Rayman 3D","3DS",2011,"Platform","Ubisoft",0.23,0.35,0,0.06,0.64
"3337",4071,"Jake Power: Fireman","DS",2008,"Adventure","Ubisoft",0.08,0.35,0,0.06,0.49
"3338",7488,"LEGO Ninjago: Shadow of Ronin","3DS",2015,"Action","Warner Bros. Interactive Entertainment",0.05,0.1,0.04,0.01,0.21
"3339",14866,"Open Season","PS2",2006,"Platform","Ubisoft",0.01,0.01,0,0,0.03
"3340",11514,"Dragon Ball Z: Battle of Z","X360",2014,"Fighting","Namco Bandai Games",0.01,0.06,0,0.01,0.08
"3341",13006,"Stranger of Sword City","PSV",2015,"Role-Playing","Nippon Ichi Software",0.02,0.02,0,0.01,0.05
"3342",15739,"Memories Off: Yubikiri no Kioku","X360",2010,"Adventure","5pb",0,0,0.02,0,0.02
"3343",16021,"Nobunaga no Yabou DS","DS",2006,"Strategy","Tecmo Koei",0,0,0.01,0,0.01
"3344",3168,"SpongeBob SquarePants: Game Boy Advance Video Volume 1","GBA",2004,"Misc","N/A",0.46,0.17,0,0.01,0.64
"3345",15245,"Group S Challenge","XB",2003,"Racing","Capcom",0.02,0,0,0,0.02
"3346",9369,"Tak 2: The Staff of Dreams","XB",2004,"Platform","THQ",0.1,0.03,0,0,0.13
"3347",8920,"Capcom Classics Collection","XB",2005,"Misc","Capcom",0.11,0.03,0,0.01,0.15
"3348",11522,"MXGP 2","PS4",2016,"Racing","Milestone S.r.l.",0.02,0.05,0,0.01,0.08
"3349",10809,"Gokuhou!! Mecha Mote Iinchou: MM Town de Miracle Change!","DS",2009,"Simulation","Konami Digital Entertainment",0,0,0.1,0,0.1
"3350",14233,"Gaia Saver Hero Saidai no Sakusen","SNES",1994,"Role-Playing","Banpresto",0,0,0.03,0,0.03
"3351",5307,"Sniper: Ghost Warrior 2","PS3",2013,"Shooter","City Interactive",0.05,0.19,0.03,0.07,0.35
"3352",16392,"WSC REAL 09: World Snooker Championship","X360",2009,"Sports","Deep Silver",0,0.01,0,0,0.01
"3353",13989,"Tears to Tiara Anecdotes: The Secret of Avalon","PS3",2009,"Strategy","Aqua Plus",0,0,0.04,0,0.04
"3354",635,"The Sims: Bustin' Out","PS2",2003,"Simulation","Electronic Arts",1.07,1.19,0,0.18,2.43
"3355",3204,"Harry Potter and the Half-Blood Prince","DS",2009,"Action","Electronic Arts",0.21,0.35,0,0.07,0.63
"3356",7439,"J-League Winning Eleven 10 + Europa League 06-07","PS2",2006,"Sports","Konami Digital Entertainment",0,0,0.21,0,0.21
"3357",1884,"Empire: Total War","PC",2009,"Strategy","Sega",0.01,0.97,0,0.11,1.09
"3358",11426,"Toukiden 2","PS4",2016,"Action","Tecmo Koei",0,0,0.08,0,0.08
"3359",5258,"G-Force","PSP",2009,"Action","Electronic Arts",0.24,0.07,0,0.05,0.36
"3360",8546,"Angry Birds Trilogy","PS3",2012,"Action","Activision",0.12,0.02,0,0.02,0.16
"3361",3202,"Iron Man","PSP",2008,"Action","Sega",0.46,0.09,0,0.09,0.63
"3362",14644,"Motor Trend presents Lotus Challenge","XB",2003,"Racing","Xicat Interactive",0.02,0.01,0,0,0.03
"3363",6722,"X-Men Origins: Wolverine","Wii",2009,"Action","Activision",0.19,0.04,0,0.02,0.25
"3364",13880,"Stolen","PS2",2005,"Action","Hip Interactive",0.02,0.01,0,0,0.04
"3365",13082,"Caligula","PSV",2016,"Role-Playing","FuRyu",0,0,0.05,0,0.05
"3366",10558,"Pro Evolution Soccer 2016","XOne",2015,"Sports","Konami Digital Entertainment",0.03,0.06,0,0.01,0.1
"3367",12195,"Hyperdimension Neptunia Victory","PSV",2014,"Role-Playing","Compile Heart",0,0,0.07,0,0.07
"3368",4585,"Super Wagyan Land","SNES",1991,"Action","Namco Bandai Games",0,0,0.42,0,0.42
"3369",13306,"Gaist Crusher","3DS",2013,"Action","Capcom",0,0,0.05,0,0.05
"3370",6701,"The Sims 2","XB",2005,"Simulation","Electronic Arts",0.19,0.05,0,0.01,0.25
"3371",2404,"Vagrant Story","PS",2000,"Role-Playing","Crave Entertainment",0.3,0.2,0.3,0.06,0.87
"3372",11080,"Tornado Outbreak","PS3",2009,"Action","Konami Digital Entertainment",0.08,0,0,0.01,0.09
"3373",15033,"Urakata Hakuoki","PSP",2013,"Adventure","Idea Factory",0,0,0.02,0,0.02
"3374",7172,"Breath of Fire","GBA",2001,"Role-Playing","Ubisoft",0.11,0.04,0.06,0,0.22
"3375",8137,"Silent Hill 4: The Room","XB",2004,"Action","Konami Digital Entertainment",0.14,0.04,0,0.01,0.18
"3376",12107,"Monster High: New Ghoul in School","PS3",2015,"Action","Little Orbit",0,0.06,0,0.01,0.07
"3377",585,"NBA 2K12","X360",2011,"Sports","Take-Two Interactive",2.31,0.14,0.01,0.16,2.62
"3378",5220,"Call of Duty: Ghosts","WiiU",2013,"Shooter","Activision",0.23,0.09,0.01,0.03,0.36
"3379",13248,"Putty Squad","PSV",2013,"Platform","System 3",0.02,0.02,0,0.01,0.05
"3380",7153,"Ys Seven","PSP",2009,"Role-Playing","Falcom Corporation",0.14,0,0.08,0.01,0.22
"3381",11547,"Little League World Series Baseball 2010","PS3",2010,"Sports","Activision",0.07,0,0,0.01,0.08
"3382",1310,"Mario Superstar Baseball","GC",2005,"Sports","Nintendo",0.93,0.24,0.25,0.04,1.46
"3383",11065,"Detana TwinBee Yahho! Deluxe Pack","PS",1995,"Shooter","Konami Digital Entertainment",0,0,0.08,0.01,0.09
"3384",3646,"Simple 1500 Series Vol. 73: The Invaders ~Space Invaders 1500~","PS",2001,"Shooter","D3Publisher",0.31,0.21,0,0.04,0.55
"3385",4242,"Super Batter Up","SNES",1992,"Sports","Namco Bandai Games",0,0,0.46,0,0.46
"3386",14740,"Frogger: Ancient Shadow","XB",2005,"Platform","Konami Digital Entertainment",0.02,0.01,0,0,0.03
"3387",11328,"NHL 2K7","X360",2006,"Sports","Take-Two Interactive",0.07,0,0,0.01,0.08
"3388",13449,"Kimi ni Todoke: Tsutaeru Kimochi","DS",2011,"Adventure","Banpresto",0,0,0.05,0,0.05
"3389",4601,"NASCAR Thunder 2002","PS",2001,"Racing","Electronic Arts",0.23,0.16,0,0.03,0.42
"3390",13359,"Tom Clancy's Rainbow Six: Lockdown","GC",2005,"Shooter","Ubisoft",0.04,0.01,0,0,0.05
"3391",14484,"Power Rangers Super Megaforce","3DS",2014,"Action","Namco Bandai Games",0.01,0.01,0,0,0.03
"3392",14601,"Driver: Parallel Lines","Wii",2007,"Racing","Ubisoft",0.01,0.01,0,0,0.03
"3393",7929,"Daigasso! Band Brothers","DS",2004,"Misc","Nintendo",0,0,0.19,0,0.19
"3394",2920,"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)","PS3",2009,"Shooter","Activision",0.28,0.3,0,0.12,0.7
"3395",10077,"18 Wheeler: American Pro Trucker","GC",2002,"Racing","Acclaim Entertainment",0.09,0.02,0,0,0.11
"3396",13265,"Fatal Frame II: Crimson Butterfly Director's Cut","XB",2004,"Action","Microsoft Game Studios",0.04,0.01,0,0,0.05
"3397",7065,"AKB1/149: Love Election","PSP",2012,"Adventure","Namco Bandai Games",0,0,0.23,0,0.23
"3398",12697,"Mana Khemia: Alchemists of Al-Revis","PS2",2007,"Role-Playing","Nippon Ichi Software",0.03,0.02,0,0.01,0.06
"3399",4163,"Gauntlet Legends","PS",2000,"Action","Midway Games",0.26,0.18,0,0.03,0.47
"3400",12393,"There","PS",2002,"Simulation","Infogrames",0.03,0.02,0,0,0.06
"3401",15513,"Uru: Ages Beyond Myst","PC",2003,"Adventure","Ubisoft",0,0.02,0,0,0.02
"3402",2927,"World of Zoo","DS",2009,"Simulation","THQ",0.43,0.2,0,0.06,0.7
"3403",11040,"Reading Training","DS",2007,"Misc","Benesse",0.01,0,0.08,0,0.09
"3404",10035,"Army Men: Sarge's War","XB",2004,"Shooter","Global Star",0.09,0.02,0,0,0.11
"3405",13578,"Kanuchi: Shiroki Tsubasa no Shou","PS2",2008,"Adventure","Idea Factory",0,0,0.04,0,0.04
"3406",4395,"Defender II","2600",1987,"Shooter","Atari",0.42,0.02,0,0,0.45
"3407",5698,"LEGO Marvel's Avengers","PS3",2016,"Action","Warner Bros. Interactive Entertainment",0.1,0.17,0,0.05,0.32
"3408",5914,"Dance Dance Revolution Universe 3","X360",2008,"Simulation","Konami Digital Entertainment",0.28,0,0,0.02,0.3
"3409",2581,"The Sims 2: Castaway","PSP",2007,"Simulation","Electronic Arts",0.08,0.46,0,0.25,0.8
"3410",13669,"Unison: Rebels of Rhythm & Dance","PS2",2000,"Misc","Tecmo Koei",0.02,0.02,0,0.01,0.04
"3411",7773,"Quantum Theory","PS3",2010,"Shooter","Tecmo Koei",0.05,0.09,0.02,0.03,0.19
"3412",3396,"Final Fantasy: The 4 Heroes of Light","DS",2009,"Role-Playing","Square Enix",0.23,0.11,0.23,0.03,0.59
"3413",5638,"Peppa Pig: Theme Park Fun","DS",2011,"Misc","P2 Games",0,0.28,0,0.04,0.32
"3414",3448,"NHL 15","PS4",2014,"Sports","Electronic Arts",0.3,0.18,0,0.1,0.58
"3415",1803,"MechAssault","XB",2002,"Simulation","Microsoft Game Studios",1.01,0.1,0,0.03,1.13
"3416",1886,"Tiger Woods PGA Tour 10","Wii",2009,"Sports","Electronic Arts",0.61,0.37,0,0.11,1.09
"3417",3426,"Barbie: Race & Ride","PS",1999,"Action","Sony Computer Entertainment",0.33,0.22,0,0.04,0.59
"3418",392,"F-1 Race","GB",1990,"Racing","Nintendo",1.73,0.69,0.59,0.4,3.41
"3419",11089,"Clockwork Knight","SAT",1994,"Platform","Sega",0,0,0.09,0,0.09
"3420",5059,"Saints Row: The Third","PC",2011,"Action","THQ",0.16,0.16,0,0.06,0.38
"3421",8338,"Mahjong Fight Club","PSP",2004,"Misc","Konami Digital Entertainment",0,0,0.17,0,0.17
"3422",8604,".hack//G.U. Vol.2//Reminisce (jp sales)","PS2",2006,"Role-Playing","Namco Bandai Games",0,0,0.16,0,0.16
"3423",7670,"Family Feud: 2012 Edition","Wii",2011,"Misc","Ubisoft",0.19,0,0,0.01,0.2
"3424",12773,"A-Train 6","PS2",2000,"Strategy","Midas Interactive Entertainment",0,0,0.06,0,0.06
"3425",3174,"LEGO Dimensions","PS4",2015,"Action","Warner Bros. Interactive Entertainment",0.22,0.32,0,0.1,0.64
"3426",10200,"FlatOut: Ultimate Carnage","X360",2007,"Racing","Empire Interactive",0.07,0.03,0,0.01,0.11
"3427",13555,"The King of Fighters Kyo","PS",1998,"Fighting","SNK Playmore",0,0,0.04,0,0.04
"3428",11463,"Jimmie Johnson's Anything With an Engine","Wii",2011,"Racing","Konami Digital Entertainment",0.07,0,0,0.01,0.08
"3429",7403,"Wedding Dash","DS",2009,"Action","Zoo Games",0.2,0,0,0.01,0.21
"3430",7918,"Dynasty Warriors Gundam","X360",2007,"Action","Namco Bandai Games",0.15,0.01,0.02,0.01,0.19
"3431",8094,"Tokyo Xtreme Racer DRIFT","PS2",2003,"Racing","Genki",0.09,0.07,0,0.02,0.18
"3432",16594,"Myst IV: Revelation","PC",2004,"Adventure","Ubisoft",0.01,0,0,0,0.01
"3433",4845,"Rampage: Total Destruction","GC",2006,"Action","Midway Games",0.31,0.08,0,0.01,0.4
"3434",9101,"Gretzky NHL 06","PSP",2005,"Sports","Sony Computer Entertainment",0.13,0,0,0.01,0.14
"3435",12366,"Challenge Me: Brain Puzzles","DS",2009,"Puzzle","Oxygen Interactive",0.06,0,0,0,0.06
"3436",505,"Colin McRae Rally","PS",1998,"Racing","Codemasters",0.09,2.43,0.12,0.22,2.87
"3437",10928,"Trivial Pursuit unhinged","XB",2004,"Misc","Atari",0.07,0.02,0,0,0.09
"3438",7660,"How to Train Your Dragon 2","X360",2014,"Adventure","Little Orbit",0.05,0.13,0,0.02,0.2
"3439",335,"FIFA Soccer 2005","PS2",2004,"Sports","Electronic Arts",0.58,2.48,0.04,0.59,3.7
"3440",14840,"Bae Yong-joon to Manabu Kankokugo DS","DS",2009,"Misc","D3Publisher",0,0,0.03,0,0.03
"3441",158,"Super Smash Bros.","N64",1999,"Fighting","Nintendo",2.95,0.6,1.97,0.04,5.55
"3442",1538,"Valkyria Chronicles","PS3",2008,"Role-Playing","Sega",0.71,0.2,0.24,0.13,1.29
"3443",12829,"Worms World Party","GBA",2002,"Strategy","Ubisoft",0.04,0.01,0,0,0.05
"3444",13223,"J-League Winning Eleven 2010: Club Championship","PS2",2010,"Sports","Konami Digital Entertainment",0,0,0.05,0,0.05
"3445",7105,"Hooked! Real Motion Fishing","Wii",2007,"Sports","505 Games",0.21,0,0,0.02,0.23
"3446",519,"WWE SmackDown! vs. Raw","PS2",2002,"Fighting","THQ",1.32,1.08,0.04,0.39,2.83
"3447",8812,"Rudra no Hihou","SNES",1996,"Role-Playing","SquareSoft",0,0,0.15,0,0.15
"3448",11745,"AKB1/149: Love Election","PSV",2012,"Adventure","Namco Bandai Games",0,0,0.07,0,0.07
"3449",3180,"Donkey Kong Barrel Blast","Wii",2007,"Racing","Nintendo",0.2,0.26,0.11,0.06,0.64
"3450",14174,"SD Gundam G Generation: Gather Beat 2","WS",2001,"Strategy","Namco Bandai Games",0,0,0.03,0,0.03
"3451",10310,"Starsky & Hutch","GC",2003,"Racing","BAM! Entertainment",0.08,0.02,0,0,0.11
"3452",3376,"Kinect Rush: A Disney Pixar Adventure","X360",2012,"Adventure","Microsoft Game Studios",0.38,0.16,0,0.05,0.6
"3453",1086,"Big Beach Sports","Wii",2008,"Sports","THQ",0.45,1.02,0,0.2,1.67
"3454",4974,"Dance Party: Pop Hits","Wii",2009,"Misc","Nordic Games",0,0.36,0,0.02,0.39
"3455",14681,"The IdolM@ster: Gravure For You! Vol. 6","PS3",2012,"Action","Namco Bandai Games",0,0,0.03,0,0.03
"3456",2265,"Lego Batman 3: Beyond Gotham","PS4",2014,"Action","Warner Bros. Interactive Entertainment",0.37,0.39,0,0.15,0.92
"3457",6607,"Baldur's Gate: Dark Alliance II","XB",2004,"Role-Playing","Acclaim Entertainment",0.19,0.06,0,0.01,0.26
"3458",16350,"Idol Janshi Suchie-Pai IV","PS2",2007,"Misc","Jaleco",0,0,0.01,0,0.01
"3459",5839,"Trauma Center: New Blood","Wii",2007,"Simulation","Nintendo",0.22,0.04,0.01,0.03,0.3
"3460",13391,"Rugby World Cup 2015","X360",2015,"Sports","Ubisoft",0,0.04,0,0,0.05
"3461",4414,"Jampack Volume 13 (RP-M)","PS2",2005,"Misc","Sony Computer Entertainment",0.37,0.01,0,0.06,0.44
"3462",4817,"Samurai Shodown","SNES",1994,"Fighting","Takara",0,0,0.4,0,0.4
"3463",10638,"Flying Dragon","N64",1997,"Fighting","Natsume",0.08,0.02,0,0,0.1
"3464",13072,"Child of Light","PS4",2014,"Role-Playing","Ubisoft",0,0.01,0.04,0,0.05
